% {"col_measures": ["predictive_accuracy", "runtime", "missclassification_rate", "predictive_accuracy_loss", "predictive_accuracy_loss_normalized"], "col_parameters": ["algorithm", "representation", "stopword_remover", "stemmer", "sparsity", "feature_selection"]}
@RELATION text_classification

@ATTRIBUTE algorithm {knn, ranger, JRip, svmLinear2, J48, nnet, lda, C5.0Tree}
@ATTRIBUTE representation {Td-idf, freq}
@ATTRIBUTE stopword_remover {none, default, smart}
@ATTRIBUTE stemmer {none, porter}
@ATTRIBUTE sparsity NUMERIC
@ATTRIBUTE feature_selection {none, '> 0'}
@ATTRIBUTE dataset {n1, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n2, n20, n21, n22, n23, n3, n4, n5, n6, n7, n8, n9, o1, o10, o11, o12, o13, o14, o15, o16, o17, o18, o19, o2, o20, o21, o22, o3, o4, o5, o6, o7, o8, o9, r1, r2, r3, r4, r5}
@ATTRIBUTE predictive_accuracy NUMERIC
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE missclassification_rate NUMERIC
@ATTRIBUTE predictive_accuracy_loss NUMERIC
@ATTRIBUTE predictive_accuracy_loss_normalized NUMERIC

@DATA
C5.0Tree,Td-idf,default,porter,0.98,'> 0',n1,0.913651565,32.0099999999994,0.086348435,0.06716612599999994,inf
knn,Td-idf,smart,none,0.99,none,n1,0.8487390029999999,71.15,0.15126099700000006,0.132078688,inf
ranger,Td-idf,smart,none,0.99,none,n1,0.970659625,43.84,0.029340374999999974,0.01015806599999991,inf
JRip,Td-idf,smart,none,0.99,none,n1,0.876991417,84.12,0.12300858299999995,0.10382627399999989,inf
svmLinear2,Td-idf,smart,none,0.99,none,n1,0.9644443070000001,40.37,0.035555692999999944,0.01637338399999988,inf
J48,Td-idf,smart,none,0.99,none,n1,0.892216992,58.2,0.10778300799999996,0.0886006989999999,inf
nnet,Td-idf,smart,none,0.99,none,n1,0.971790853,37.06,0.02820914699999999,0.009026837999999926,inf
lda,Td-idf,smart,none,0.99,none,n1,0.7585852059999999,58.59,0.2414147940000001,0.22223248500000004,inf
C5.0Tree,Td-idf,smart,none,0.99,none,n1,0.8927723890000001,70.4,0.10722761099999989,0.08804530199999983,inf
knn,Td-idf,smart,none,0.99,'> 0',n1,0.93284789,36.39,0.06715210999999999,0.04796980099999992,inf
ranger,Td-idf,smart,none,0.99,'> 0',n1,0.9667143770000001,34.56,0.03328562299999993,0.014103313999999867,inf
JRip,Td-idf,smart,none,0.99,'> 0',n1,0.884903544,34.83,0.11509645599999996,0.0959141469999999,inf
svmLinear2,Td-idf,smart,none,0.99,'> 0',n1,0.955403459,26.72,0.04459654099999999,0.025414231999999926,inf
J48,Td-idf,smart,none,0.99,'> 0',n1,0.900679467,30.22,0.09932053299999999,0.08013822399999992,inf
nnet,Td-idf,smart,none,0.99,'> 0',n1,0.966141128,27.16,0.03385887200000004,0.014676562999999976,inf
lda,Td-idf,smart,none,0.99,'> 0',n1,0.940747296,27.41,0.059252704000000045,0.04007039499999998,inf
C5.0Tree,Td-idf,smart,none,0.99,'> 0',n1,0.8995558770000001,36.89,0.10044412299999994,0.08126181399999988,inf
knn,Td-idf,smart,none,0.98,none,n1,0.858905954,33.4599999999996,0.14109404599999997,0.12191173699999991,inf
ranger,Td-idf,smart,none,0.98,none,n1,0.9661436640000001,27.0999999999996,0.03385633599999993,0.014674026999999867,inf
JRip,Td-idf,smart,none,0.98,none,n1,0.879255096,33.349999999999596,0.12074490400000004,0.10156259499999998,inf
svmLinear2,Td-idf,smart,none,0.98,none,n1,0.93735366,18.029999999999603,0.06264634000000002,0.04346403099999996,inf
J48,Td-idf,smart,none,0.98,none,n1,0.890525255,23.6299999999996,0.10947474499999998,0.09029243599999992,inf
nnet,Td-idf,smart,none,0.98,none,n1,0.9605066729999999,17.0899999999996,0.03949332700000008,0.020311018000000014,inf
lda,Td-idf,smart,none,0.98,none,n1,0.923233805,19.549999999999603,0.07676619500000004,0.05758388599999997,inf
C5.0Tree,Td-idf,smart,none,0.98,none,n1,0.8939099770000001,33.5899999999996,0.10609002299999992,0.08690771399999986,inf
knn,Td-idf,none,none,0.99,'> 0',n1,0.943565194,43.0,0.05643480599999995,0.037252496999999885,inf
